site,process_capex_multiplier,process_capex_per_kw,price_EUR_per_kg,operating_EUR_per_day,capex_EUR,capital_EUR_per_day,net_EUR_per_day,payback_years
Seville,0.25,550.0,2.0,209.1284743845341,1189975.8114908552,396.9597148974419,-187.83124051290784,inf
Seville,0.375,825.0,2.0,209.1284743845341,1337463.7172362828,443.75601804311526,-234.62754365858117,inf
Seville,0.5,1100.0,2.0,209.1284743845341,1484951.6229817104,490.55232118878854,-281.4238468042545,inf
Seville,0.625,1375.0,2.0,209.1284743845341,1632439.528727138,537.3486243344619,-328.22014994992776,inf
Seville,0.75,1650.0,2.0,209.1284743845341,1779927.4344725653,584.144927480135,-375.0164530956009,inf
Seville,0.875,1925.0,2.0,209.1284743845341,1927415.340217993,630.9412306258083,-421.8127562412742,inf
Seville,1.0,2200.0,2.0,209.1284743845341,2074903.2459634205,677.7375337714816,-468.6090593869475,inf
Seville,0.25,550.0,3.0,332.7469095205791,1189975.8114908552,396.78045458623484,-64.03354506565576,inf
Seville,0.375,825.0,3.0,332.7469095205791,1337463.7172362828,443.5767577319082,-110.8298482113291,inf
Seville,0.5,1100.0,3.0,332.7469095205791,1484951.6229817104,490.37306087758145,-157.62615135700239,inf
Seville,0.625,1375.0,3.0,332.7469095205791,1632439.528727138,537.1693640232548,-204.42245450267572,inf
Seville,0.75,1650.0,3.0,332.7469095205791,1779927.4344725653,583.965667168928,-251.21875764834888,inf
Seville,0.875,1925.0,3.0,332.7469095205791,1927415.340217993,630.7619703146013,-298.01506079402213,inf
Seville,1.0,2200.0,3.0,332.7469095205791,2074903.2459634205,677.5582734602746,-344.8113639396954,inf
Seville,0.25,550.0,4.0,457.0143974950033,1189975.8114908552,396.74238660735546,60.27201088764785,15.083333333333371
Seville,0.375,825.0,4.0,457.0143974950033,1337463.7172362828,443.5386897530288,13.475707741974517,19.666666666666657
Seville,0.5,1100.0,4.0,457.0143974950033,1484951.6229817104,490.33499289870207,-33.32059540369876,inf
Seville,0.625,1375.0,4.0,457.0143974950033,1632439.528727138,537.1312960443754,-80.1168985493721,inf
Seville,0.75,1650.0,4.0,457.0143974950033,1779927.4344725653,583.9275991900486,-126.91320169504526,inf
Seville,0.875,1925.0,4.0,457.0143974950033,1927415.340217993,630.7239023357218,-173.70950484071852,inf
Seville,1.0,2200.0,4.0,457.0143974950033,2074903.2459634205,677.5202054813951,-220.5058079863918,inf
Seville,0.25,550.0,5.0,580.9920205102519,1189975.8114908552,396.7414486282257,184.25057188202618,9.249999999999996
Seville,0.375,825.0,5.0,580.9920205102519,1337463.7172362828,443.53775177389906,137.45426873635284,11.25000000000001
Seville,0.5,1100.0,5.0,580.9920205102519,1484951.6229817104,490.33405491957234,90.65796559067958,14.4166666666667
Seville,0.625,1375.0,5.0,580.9920205102519,1632439.528727138,537.1303580652457,43.861662445006246,17.583333333333353
Seville,0.75,1650.0,5.0,580.9920205102519,1779927.4344725653,583.9266612109188,-2.934640700666918,22.83333333333328
Seville,0.875,1925.0,5.0,580.9920205102519,1927415.340217993,630.7229643565921,-49.730943846340196,inf
Seville,1.0,2200.0,5.0,580.9920205102519,2074903.2459634205,677.5192675022654,-96.52724699201347,inf
Seville,0.25,550.0,6.0,704.9933399376497,1189975.8114908552,396.73956374152584,308.25377619612385,6.416666666666661
Seville,0.375,825.0,6.0,704.9933399376497,1337463.7172362828,443.5358668871992,261.4574730504505,8.24999999999999
Seville,0.5,1100.0,6.0,704.9933399376497,1484951.6229817104,490.33217003287245,214.66116990477724,9.666666666666666
