site,battery_kwh,price_EUR_per_kg,operating_EUR_per_day,capital_EUR_per_day,first_pack_EUR_per_day,replacement_EUR_per_day,net_EUR_per_day,capex_EUR,efc_per_day,dod_stress,battery_life_years,seasons,season_min,season_max,cash_EUR_per_day,payback_years
Seville,500.0,2.0,209.1284743845341,677.7375337714816,658.3441591722237,19.393374599257875,-468.6090593869475,2074903.2459634205,0.7860431745596441,1.358024554301391,7.146046788459802,4,162.11183310771284,244.826585168142,60.799716740851494,inf
Seville,500.0,3.0,332.7469095205791,677.5582734602746,658.3441591722237,19.2141142880508,-344.81136393969547,2074903.2459634205,0.8436797115681691,1.3956628674952878,6.819850026303156,4,261.41764158700664,386.0945491361752,186.0467884704262,inf
Seville,500.0,4.0,457.0143974950033,677.5202054813951,658.3441591722237,19.17604630917141,-220.5058079863918,2074903.2459634205,0.8523063828737655,1.4074680205413592,6.757884579023543,4,360.8577913800249,527.5911485053869,310.55804044070896,inf
Seville,500.0,5.0,580.9920205102519,677.5192675022654,658.3441591722237,19.17510833004165,-96.52724699201347,2074903.2459634205,0.853515546327194,1.406106834955093,6.756384502397986,4,460.2220550750232,669.0747876160242,434.56983080795374,inf
Seville,500.0,6.0,704.9933399376497,677.5173826155656,658.3441591722237,19.173223443341787,27.475957322084128,2074903.2459634205,0.8544964221752251,1.405762098703994,6.753373836833131,4,559.6013899703096,810.5593521073603,558.5988668606508,19.583333333333325
Seville,1000.0,2.0,212.26262071194216,737.1710211213579,698.0052952066983,39.16572591465958,-524.9084004094157,2199903.2459634207,0.7383387736372129,1.2648638761046425,7.58655514293282,4,163.3905885853564,248.56858896304863,73.17515752582881,inf
Seville,1000.0,3.0,347.4202198539497,736.8893257208862,698.0052952066983,38.88403051418788,-389.4691058669365,2199903.2459634207,0.7995221557423853,1.2949918450770284,7.247149183079773,4,271.0720462219051,402.1347429548865,211.79047637773692,inf
Seville,1000.0,4.0,483.1480380370347,736.8354122691774,698.0052952066983,38.83011706247905,-253.68737423214264,2199903.2459634207,0.8071352555378765,1.304993467057698,7.190306523776491,4,380.7472494208123,555.0089250377366,347.94854153819665,inf
Seville,1000.0,5.0,619.3467550639684,736.8140846715642,698.0052952066983,38.80878946486589,-117.46732960759572,2199903.2459634207,0.8111267071372881,1.3071913843225464,7.168384162038984,4,490.0107059610511,708.3525173647544,484.3728315947918,inf
Seville,1000.0,6.0,755.2489234663608,736.8144012521204,698.0052952066983,38.80910604542208,18.43452221424036,2199903.2459634207,0.8110990123093118,1.307108563568054,7.168707333504396,4,599.2880846619208,862.1330682249311,620.2734348507464,19.583333333333325
Seville,1500.0,2.0,213.647033172283,787.2570482508415,737.6664312411727,49.5906170096688,-573.6100150785585,2324903.2459634207,0.5946024752526894,1.1250096480570746,8.643531238129466,4,164.73229962080737,247.9029760386132,72.96417151412095,inf
Seville,1500.0,3.0,354.0776446739832,796.9299885841792,737.6664312411727,59.2635573430065,-442.85234391019605,2324903.2459634207,0.6866301448605733,1.1285770440554896,8.187281532178323,4,276.52954435369185,402.12077124123033,221.19606522948857,inf
Seville,1500.0,4.0,492.4071056942236,796.5454779257229,737.6664312411727,58.87904668455024,-304.1383722314994,2324903.2459634207,0.7497620042039612,1.198840482760949,7.711304781080421,4,390.69995505680873,548.2503391470577,364.87728027664116,inf
Seville,1500.0,5.0,635.0286468357139,796.5445177866885,737.6664312411727,58.87808654551581,-161.51587095097466,2324903.2459634207,0.7508426622749711,1.19747046238196,7.7103395357970275,4,504.2268570068589,705.3044618029832,507.59042993787705,inf
