site,battery_kwh,price_EUR_per_kg,operating_EUR_per_day,capital_EUR_per_day,net_EUR_per_day,capex_EUR,seasons,season_min,season_max
Seville,500.0,2.0,250.87856152582648,658.3441591722237,-407.4655976463972,2074903.2459634205,1,250.87856152582648,250.87856152582648
Seville,500.0,3.0,392.3022468464283,658.3441591722237,-266.0419123257954,2074903.2459634205,1,392.3022468464283,392.3022468464283
Seville,500.0,4.0,533.7893113932853,658.3441591722237,-124.55484777893844,2074903.2459634205,1,533.7893113932853,533.7893113932853
Seville,500.0,5.0,675.2769495272826,658.3441591722237,16.93279035505884,2074903.2459634205,1,675.2769495272826,675.2769495272826
Seville,500.0,6.0,816.7616174158268,658.3441591722237,158.41745824360305,2074903.2459634205,1,816.7616174158268,816.7616174158268
Seville,1000.0,2.0,260.4344263168914,698.0052952066983,-437.5708688898069,2199903.2459634207,1,260.4344263168914,260.4344263168914
Seville,1000.0,3.0,413.53597689946616,698.0052952066983,-284.46931830723213,2199903.2459634207,1,413.53597689946616,413.53597689946616
Seville,1000.0,4.0,567.3166092053368,698.0052952066983,-130.68868600136148,2199903.2459634207,1,567.3166092053368,567.3166092053368
Seville,1000.0,5.0,722.7473391439548,698.0052952066983,24.74204393725654,2199903.2459634207,1,722.7473391439548,722.7473391439548
Seville,1000.0,6.0,876.9754053611232,698.0052952066983,178.9701101544249,2199903.2459634207,1,876.9754053611232,876.9754053611232
Seville,1500.0,2.0,260.01141565350594,737.6664312411727,-477.6550155876668,2324903.2459634207,1,260.01141565350594,260.01141565350594
Seville,1500.0,3.0,408.984658455919,737.6664312411727,-328.68177278525377,2324903.2459634207,1,408.984658455919,408.984658455919
Seville,1500.0,4.0,566.0889009410294,737.6664312411727,-171.5775303001434,2324903.2459634207,1,566.0889009410294,566.0889009410294
Seville,1500.0,5.0,723.0573512378512,737.6664312411727,-14.609080003321537,2324903.2459634207,1,723.0573512378512,723.0573512378512
Seville,1500.0,6.0,880.1617868134796,737.6664312411727,142.49535557230683,2324903.2459634207,1,880.1617868134796,880.1617868134796
Seville,2000.0,2.0,259.5199619076551,777.3275672756473,-517.8076053679922,2449903.2459634207,1,259.5199619076551,259.5199619076551
Seville,2000.0,3.0,409.6546392492681,777.3275672756473,-367.6729280263792,2449903.2459634207,1,409.6546392492681,409.6546392492681
Seville,2000.0,4.0,567.7366461279111,777.3275672756473,-209.59092114773625,2449903.2459634207,1,567.7366461279111,567.7366461279111
Seville,2000.0,5.0,725.8404361676118,777.3275672756473,-51.487131108035555,2449903.2459634207,1,725.8404361676118,725.8404361676118
Seville,2000.0,6.0,883.9442262073128,777.3275672756473,106.61665893166548,2449903.2459634207,1,883.9442262073128,883.9442262073128
Seville,2500.0,2.0,259.57201160577404,816.9887033101219,-557.4166917043478,2574903.2459634207,1,259.57201160577404,259.57201160577404
Seville,2500.0,3.0,410.1261975031519,816.9887033101219,-406.86250580697,2574903.2459634207,1,410.1261975031519,410.1261975031519
Seville,2500.0,4.0,568.843207745727,816.9887033101219,-248.14549556439488,2574903.2459634207,1,568.843207745727,568.843207745727
Seville,2500.0,5.0,727.5808619611205,816.9887033101219,-89.40784134900139,2574903.2459634207,1,727.5808619611205,727.5808619611205
Seville,2500.0,6.0,886.306566875199,816.9887033101219,69.31786356507712,2574903.2459634207,1,886.306566875199,886.306566875199
